id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
792d7b93-b4b4-470b-b62d-de99a75f9772,2019,Balance general,Total activos no corrientes,530641.0,530.641,millones COP,false
00f8564f-0dfc-489b-bc88-af28121ffde1,2020,Balance general,Total activos no corrientes,571556.0,571.556,millones COP,false
0ed61239-8fc0-4ff4-9b43-c02b9c61d495,2021,Balance general,Total activos no corrientes,574641.0,574.641,millones COP,false
a57e852f-9d68-4a91-9139-a2372aac6bfb,2022,Balance general,Total activos no corrientes,594028.0,594.028,millones COP,false
a188eff4-ef8d-4521-860b-bfde7ea1b6c7,2023,Balance general,Total activos no corrientes,652554.0,652.554,millones COP,false
fe380711-579c-47f8-b1a9-e0fd7740cfc7,2024,Balance general,Total activos no corrientes,635603.0,635.603,millones COP,false
25de2b37-2e36-4e6e-9fe6-346f5d71bf5d,2019,Balance general,Total activos,644313.0,644.313,millones COP,false
7f62e4c8-2663-4096-8db8-3d226f5761f9,2020,Balance general,Total activos,705089.0,705.089,millones COP,false
76e5a909-3ae4-48d2-a8dd-c4a9c8a8bd6f,2021,Balance general,Total activos,699619.0,699.619,millones COP,false
4d587c1d-92c8-4243-aed6-ec283eb6655d,2022,Balance general,Total activos,782711.0,782.711,millones COP,false
3087e45b-bea8-4af4-b612-621310ddb1b6,2023,Balance general,Total activos,812849.0,812.849,millones COP,false
359c170a-0e56-485c-8962-e8ae98b6b4ac,2024,Balance general,Total activos,844574.0,844.574,millones COP,false
77071044-f2eb-4f9e-8382-9d1bed3ab011,2019,Balance general,Deuda,158186.0,158.186,millones COP,false
b0970ac2-e5f2-4596-bbd0-42f2e40f53b9,2020,Balance general,Deuda,267971.0,267.971,millones COP,false
df44cbd5-d574-4dde-bb2f-b20fe477572e,2021,Balance general,Deuda,280150.0,280.150,millones COP,false
e2b94359-9f48-433c-bbb0-351746893a88,2022,Balance general,Deuda,305998.0,305.998,millones COP,false
87e8f552-2490-4d9e-8cef-ab5f2f30245d,2023,Balance general,Deuda,306915.0,306.915,millones COP,false
9ce253ed-1115-4e13-a356-74882d1e8b24,2024,Balance general,Deuda,307021.0,307.021,millones COP,false
0dc7af65-17e8-4cae-b43e-a05ee0f29799,2019,Balance general,Proveedores,110595.0,110.595,millones COP,false
9d0abd9d-1c99-406b-9178-22d05e3612c1,2020,Balance general,Proveedores,116904.0,116.904,millones COP,false
692ae6f4-cf44-462a-833e-1e2f147a8974,2021,Balance general,Proveedores,107901.0,107.901,millones COP,false
239855ff-0843-43a5-bdc3-58c00593ae08,2022,Balance general,Proveedores,121908.0,121.908,millones COP,false
f1a2daa1-18f2-400a-b83e-6b1c316b0b4c,2023,Balance general,Proveedores,126581.0,126.581,millones COP,false
60a42f9c-c73d-434d-9358-7d116db3f1a2,2024,Balance general,Proveedores,126777.0,126.777,millones COP,false
6f7b4ec3-4d82-4133-ac05-fc6d57a8f1c1,2019,Balance general,Obligaciones laborales,9630.0,9.630,millones COP,false
